id,layer,source,title,topic,relation,evidence,life,date,summary
"s17","standards","RFC 9457 / Problem Details","Error responses should not leak internal implementation details","API","Current Alignment","A","Current","2023-07","Structured error responses help clients. Stack traces, SQL errors, and internal paths must be filtered from production responses."
"s18","standards","NIST SP 800-190","Container images must be scanned and signed before deployment","Containers","Normative Conflict","A","Current","2017-09","Unsigned or unscanned images bypass supply chain controls. Admission policies should enforce image provenance."
"a1","architecture","AWS CloudTrail User Guide","CloudTrail console and IaC paths create different trail scope","Logging","Console/API/IaC Divergence","B","Current","2022-06","Console-created trails can differ from CLI, API, CloudFormation, or CDK trails unless multi-region scope is explicit."
"a2","architecture","AWS Security Reference Architecture","IAM Identity Center is the centralized workforce access pattern","IAM","Current Alignment","B","Current","2023-02","Architecture guidance aligns with federation and temporary credentials. Drift remains where legacy user-key tutorials stay visible."
"a3","architecture","AWS Well-Architected / Networking","VPC flow logs should be enabled for all production VPCs","VPC","Current Alignment","B","Current","2023-04","Flow logs provide network-level visibility. Without them, lateral movement and data exfiltration lack detection signals."
"a4","architecture","AWS Well-Architected / EC2 docs","IMDSv2 should be required on EC2 instances","IAM","Unsafe Default","B","Current","2023-10","IMDSv1 allows SSRF-to-metadata credential theft. Launch paths should explicitly require session-oriented metadata access."
"a5","architecture","AWS EKS Best Practices Guide","Pod security standards should replace PodSecurityPolicy","EKS","Guidance Drift","B","Current","2023-08","PSP is removed in K8s 1.25. Migration to Pod Security Admission or policy engines is required for enforcement."
"a6","architecture","AWS Well-Architected / S3","S3 Block Public Access should be enabled at account level","S3","Current Alignment","B","Current","2023-06","Account-level BPA prevents accidental public bucket creation. Bucket-level overrides should require explicit exception process."
"a7","architecture","AWS Security Hub docs","Security Hub standards should be enabled in all regions","Config","Unsafe Default","B","Current","2023-09","Security Hub is regional. Findings from unused regions can be missed without multi-region enablement."
"a8","architecture","AWS KMS Developer Guide","KMS key deletion permissions should be restricted to specific roles","KMS","Unsafe Default","B","Current","2023-05","Accidental key deletion causes irreversible data loss. Restrict ScheduleKeyDeletion to specific roles and use the mandatory 7-30 day waiting period."
"a9","architecture","AWS Lambda / VPC","Lambda in VPC requires NAT gateway for internet access","Lambda","Console/API/IaC Divergence","B","Current","2023-03","VPC Lambda functions lose internet access without NAT. Console does not warn about this dependency during configuration."
"a10","architecture","AWS CloudFront / WAF","WAF rules should be attached to all public-facing distributions","WAF","Unsafe Default","B","Current","2023-07","CloudFront distributions without WAF expose origin servers to unfiltered traffic. Default creation flow does not require WAF."
"a11","architecture","AWS Organizations / SCPs","Service control policies should deny root user access in member accounts","IAM","Current Alignment","B","Current","2023-01","SCPs provide guardrails across the organization. Root user actions in member accounts bypass IAM policies but respect SCPs."
"a12","architecture","AWS GuardDuty docs","GuardDuty should be enabled in all accounts and regions","Logging","Unsafe Default","B","Current","2023-11","GuardDuty threat detection requires explicit enablement per account and region. Gaps create blind spots for compromise detection."
"a13","architecture","AWS Step Functions / IAM","Step Functions execution roles should be scoped to specific state machines","StepFn","Unsafe Default","B","Current","2023-09","Shared execution roles across state machines violate least privilege. Each workflow should have a dedicated role."
"a14","architecture","AWS DynamoDB / Encryption","DynamoDB encryption at rest uses AWS-owned keys by default","DynamoDB","Unsafe Default","B","Current","2023-04","AWS-owned keys prevent customer audit of key usage. CMK encryption provides audit trail and rotation control."
"a15","architecture","AWS Cognito / Architecture","Cognito user pool should enable threat protection","Cognito","Unsafe Default","B","Current","2023-10","Threat protection (formerly advanced security features) including adaptive authentication and compromised credential detection is opt-in. Default pools lack brute-force and credential-stuffing protection."
"a16","architecture","AWS Well-Architected / SNS","SNS topics should enforce encryption and access policies","SNS","Unsafe Default","B","Current","2023-06","SNS topics created without resource policies can allow cross-account publish. Server-side encryption should be enabled for sensitive messages."
"a17","architecture","AWS ECR / Image Scanning","ECR image scanning should be enabled on push for all repositories","ECR","Current Alignment","B","Current","2024-01","Scan-on-push catches known CVEs before deployment. Enhanced scanning with Inspector provides continuous monitoring."
"a18","architecture","AWS SQS / Security","SQS default SSE-SQS encryption lacks customer key audit and rotation control","SQS","Unsafe Default","B","Current","2023-08","SQS queues use SSE-SQS encryption by default since October 2022. For sensitive data requiring audit trail and key rotation control, SSE-KMS with customer-managed keys should be used."
"d1","docs","API Gateway Developer Guide","CORS wildcard examples omit credentialed-endpoint restrictions","CORS","Unsafe Default","B","Current","2023-08","Docs show wildcard CORS as the default example. Browsers reject wildcard origin with credentials, but the doc does not warn on the same page."
"d2","docs","Amazon Cognito Developer Guide","Refresh tokens can be configured for long lifetimes","Session","Unsafe Default","B","Current","2023-11","Long token windows are supported configuration, not a recommendation. Threat model and rotation rules need to be explicit."
"d3","docs","CloudFront Developer Guide","Managed security headers policy is opt-in and omits CSP","Headers","Editorial Omission","B","Current","2023-05","Managed policies provide a baseline but must be attached to cache behavior and augmented for CSP and permissions policy."
"d4","docs","Elastic Load Balancing docs","Legacy TLS policies remain selectable as compatibility options","TLS","Legacy Compatibility Exposure","B","Current","2023-04","The docs are accurate, but selectable legacy policies can drift from current TLS baselines if copied into new systems."
"d5","docs","Lambda Developer Guide","Default Lambda timeout of 3 seconds may cause silent failures","Lambda","Editorial Omission","B","Current","2023-09","Short default timeout is not a security issue, but silent failure can mask security-relevant processing like token validation."
"d6","docs","S3 User Guide","S3 ACLs are disabled by default but still documented as a configurable option","S3","Legacy Compatibility Exposure","B","Current","2023-07","ACLs are off by default (Object Ownership: bucket-owner-enforced). Re-enabling ACLs is still documented and possible, creating drift when older patterns are copied."
"d7","docs","RDS User Guide","RDS master password can be stored in Secrets Manager optionally","Secrets","Unsafe Default","B","Current","2023-10","Console allows plaintext password entry without Secrets Manager integration. Production databases should use managed rotation."
"d8","docs","IAM User Guide","Long-lived access keys remain a documented option despite temporary credentials being preferred","IAM","Editorial Omission","B","Current","2023-06","Access key docs include rotation guidance but access keys remain a first-class option. Temporary credentials via IAM roles are the recommended pattern."
"d9","docs","DynamoDB Developer Guide","DynamoDB Streams inherit table encryption but key changes require re-creation","DynamoDB","Editorial Omission","B","Current","2023-11","Streams inherit the table's encryption key (including CMK). Changing the encryption key on a table does not retroactively re-encrypt existing stream records."
"d10","docs","EKS User Guide","EKS cluster endpoint can be public by default","EKS","Unsafe Default","B","Current","2023-08","Public API endpoints expose the control plane to the internet. Private endpoint access should be the production default."
"d11","docs","CloudWatch Logs docs","Log group retention defaults to never expire","Logging","Unsafe Default","B","Current","2023-05","Unlimited retention increases storage costs and may violate data retention policies. Explicit retention periods should be set."
"d12","docs","SNS Developer Guide","SNS HTTPS subscriptions require CA-signed certificates but confirmation flow can be spoofed","SNS","Unsafe Default","B","Current","2023-09","SNS validates CA-signed certificates by default. However, the subscription confirmation token can be intercepted if the HTTPS endpoint is compromised, granting persistent message delivery."
"d13","docs","SES Developer Guide","SES sending authorization requires explicit identity policies","Config","Editorial Omission","B","Current","2023-07","Cross-account SES sending requires identity-based and resource-based policy alignment. Missing policies cause silent failures."
"d14","docs","AWS WAF Developer Guide","WAF rate-based rules had a minimum threshold of 100 requests per 5-minute window","WAF","Doc/Product Mismatch","B","Current","2023-10","The minimum rate limit of 100 requests (lowered to 10 in August 2024) may be too coarse for targeted endpoints. Additional mitigation layers may be needed."
"d15","docs","Route 53 Developer Guide","DNSSEC signing is opt-in per hosted zone","DNS","Unsafe Default","B","Current","2023-04","DNS responses are unsigned by default. DNSSEC prevents cache poisoning but requires careful key rotation management."
"d16","docs","AWS Config Rules Guide","Config rules evaluate but do not auto-remediate by default","Config","Editorial Omission","B","Current","2023-08","Evaluation without remediation creates alert fatigue. Auto-remediation requires explicit SSM Automation document configuration."
"d17","docs","API Gateway docs / Authorizers","Lambda authorizer caching can serve stale auth decisions","API","Unsafe Default","B","Current","2023-11","Cached authorizer responses persist for the TTL period. Token revocation during cache window is not reflected."
"d18","docs","Secrets Manager docs","Secrets Manager rotation for non-managed secrets requires Lambda function configuration","Secrets","Editorial Omission","B","Current","2023-06","RDS-managed passwords rotate automatically, but custom secrets require explicit Lambda rotation function configuration or they remain static indefinitely."
"p1","samples","aws-samples / serverless snippets","Sample Lambda roles often exceed least-privilege scope","IAM","Sample-Code Defect","C","Current","2023-11","Convenience permissions in sample code can propagate into production templates when copied without review."
"p2","samples","Container app examples","Docker examples frequently omit non-root runtime user","Docker","Sample-Code Defect","B","Current","2024-01","A Dockerfile without a USER instruction runs as root by default. Task definitions should also lock down writable filesystems."
"p3","samples","React auth examples","dangerouslySetInnerHTML examples need sanitizer boundaries","React","Sample-Code Defect","B","Current","2023-07","Framework escape hatches bypass default XSS protection. Rich HTML from users needs strict sanitizer allowlists."
"p4","samples","CDK construct library examples","CDK examples use wildcard resource ARNs in IAM policies","IAM","Sample-Code Defect","C","Current","2023-12","Resource: '*' in sample IAM policies grants access to all resources. Production policies must scope to specific ARNs."
"p5","samples","EKS workshop materials","Workshop RBAC examples bind cluster-admin to default service account","K8s","Sample-Code Defect","C","Current","2023-10","cluster-admin ClusterRoleBinding in samples creates privilege escalation paths. Workshop cleanup steps often miss RBAC rollback."
"p6","samples","Terraform module examples","Terraform S3 backend examples omit state locking configuration","Terraform","Sample-Code Defect","B","Current","2023-09","Without DynamoDB state locking, concurrent applies can corrupt state. Sample backends should include lock table configuration."
"p7","samples","AWS SDK examples / Python","SDK examples catch broad exceptions, risking sensitive data in error output","Secrets","Sample-Code Defect","C","Current","2023-08","Broad except-all handlers in sample code can expose request metadata containing sensitive data when exceptions are logged."
"p8","samples","CloudFormation sample templates","CFN templates use hardcoded CIDR blocks for security groups","Network","Sample-Code Defect","B","Current","2023-11","Hardcoded 0.0.0.0/0 ingress rules in sample templates create open security groups when deployed without modification."
"p9","samples","API Gateway + Lambda examples","Sample API endpoints lack request validation","Input","Sample-Code Defect","B","Current","2024-01","Sample APIs accept any request body without schema validation. API Gateway request validators should be configured."
"p10","samples","Cognito integration examples","Cognito sample apps store tokens in localStorage","Cognito","Sample-Code Defect","B","Current","2023-10","localStorage is accessible to XSS. Tokens should use httpOnly cookies or in-memory storage with refresh token rotation."
"p11","samples","Step Functions examples","Step Functions sample workflows pass full event payload between states","StepFn","Sample-Code Defect","C","Current","2023-07","Passing entire payloads increases state size and may expose sensitive data in execution history. Use InputPath/ResultPath filtering."
"p12","samples","DynamoDB sample applications","DynamoDB samples use Scan instead of Query for filtered reads","DynamoDB","Sample-Code Defect","C","Current","2023-12","Full table scans are expensive and can expose data across partition boundaries. Samples should demonstrate Query with key conditions."
"p13","samples","VPC CloudFormation examples","VPC sample templates rely on default allow-all network ACLs","VPC","Sample-Code Defect","B","Current","2023-09","Subnets always have a NACL, but samples use the default which allows all traffic. Production templates should define explicit NACL rules."
"p14","samples","CI/CD pipeline examples","CodePipeline examples use plaintext environment variables for secrets","CICD","Sample-Code Defect","C","Current","2024-02","CodeBuild PLAINTEXT env var type exposes values in build logs. Use PARAMETER_STORE or SECRETS_MANAGER types instead."
"p15","samples","SQS consumer examples","SQS consumer samples lack dead-letter queue configuration","SQS","Sample-Code Defect","B","Current","2023-08","Without DLQ, failed messages are retried indefinitely or silently dropped. Samples should include redrive policy configuration."
"p16","samples","KMS encryption examples","KMS sample code uses default key policy allowing root account full access","KMS","Sample-Code Defect","B","Current","2023-11","Default key policy grants root account unrestricted access. Production keys should specify explicit key administrators and users."
"p17","samples","CloudFront + S3 examples","CloudFront sample origins use S3 website endpoint without OAC","CloudFront","Sample-Code Defect","B","Current","2024-01","S3 website endpoints cannot use OAC. Samples should use S3 REST endpoints with OAC to prevent direct bucket access."
"p18","samples","EventBridge rule examples","EventBridge samples use overly broad event patterns","Config","Sample-Code Defect","C","Current","2023-10","Broad event patterns trigger on unintended events. Production rules should match on specific source, detail-type, and detail fields."
"c1","community","IAM change trackers","Community trackers catch permission changes before docs settle","IAM","Guidance Drift","D","Current","2024-01","Trackers are not authority, but they surface changes that need confirmation against official service behavior."
"c2","community","Breaking-change reports","Observed TLS defaults differ by provisioning path","TLS","Console/API/IaC Divergence","C","Current","2024-11","Console defaults can be stronger than CLI or IaC defaults. Production templates should set policy values explicitly."
"c3","community","GitHub security advisories","Community reports surface zero-day patterns before vendor patches","Containers","Guidance Drift","D","Current","2024-03","Advisory databases aggregate community vulnerability reports. Dependency scanning should monitor multiple advisory sources."
"c4","community","Cloud security blog posts","S3 bucket enumeration tools document public bucket discovery techniques","S3","Ecosystem Observation","D","Current","2023-11","Bucket naming patterns are predictable. Account-level BPA and bucket policies are more reliable than obscurity."
"c5","community","Kubernetes security mailing lists","RBAC misconfigurations are the most reported K8s security issue","K8s","Guidance Drift","D","Current","2024-02","Community reports consistently highlight overprivileged service accounts and missing network policies."
"c6","community","AWS re:Post discussions","Cross-account role assumption chains create transitive trust","IAM","Guidance Drift","D","Current","2024-01","Role chaining across accounts can create unintended access paths. Trust policies should use explicit condition keys."
"c7","community","Terraform provider changelogs","Provider updates change default security configurations","Terraform","Guidance Drift","D","Current","2024-03","Major provider version bumps can change default values for encryption, public access, and logging. Pin versions and review changelogs."
"c8","community","Container security scanners","Base image vulnerability counts vary significantly between scanners","Docker","Guidance Drift","D","Current","2024-02","Scanner databases and detection methods differ. Cross-referencing multiple scanners provides more complete coverage."
"c9","community","Security conference presentations","SSRF to cloud metadata is a recurring attack pattern","IAM","Guidance Drift","D","Current","2024-01","SSRF attacks targeting metadata services continue despite IMDSv2. Application-level SSRF prevention is still necessary."
"c10","community","Bug bounty reports","API rate limiting bypasses via header manipulation documented","API","Guidance Drift","D","Current","2024-03","X-Forwarded-For and similar headers can bypass IP-based rate limiting. Rate limits should use authenticated identity where possible."
"c11","community","Open-source SAST tools","Community SAST rules detect patterns missed by commercial tools","Input","Ecosystem Observation","D","Current","2024-02","Semgrep and similar tools have community-contributed rules for framework-specific vulnerabilities."
"c12","community","DNS monitoring projects","Subdomain takeover monitoring reveals dangling DNS records","DNS","Guidance Drift","D","Current","2024-01","Dangling CNAME records for decommissioned services can be claimed by attackers. DNS hygiene requires lifecycle management."
"c13","community","AWS community tools","Prowler findings reveal gaps between documented and actual security posture","Config","Guidance Drift","D","Current","2024-02","Open-source audit tools often check controls not covered by AWS-managed config rules. Multiple audit sources improve coverage."
"c14","community","OIDC implementation blogs","OIDC token validation libraries have inconsistent claim verification","OIDC","Guidance Drift","D","Current","2024-03","Libraries differ on which claims are validated by default. Audience, issuer, and expiry should be explicitly checked."
"c15","community","MFA bypass research","Push notification fatigue attacks bypass MFA approval","MFA","Guidance Drift","D","Current","2024-01","Repeated push notifications can trick users into approving malicious requests. Number matching and rate limiting reduce risk."
"c16","community","Cloud storage audit tools","Versioned S3 objects remain accessible after deletion to any principal with read permissions","Storage","Guidance Drift","D","Current","2024-02","Delete operations on versioned buckets insert delete markers but preserve previous versions. Anyone with s3:GetObjectVersion can read 'deleted' data."
"e1","seo","JWT tutorials","JWT tutorials use weak shared secrets or hardcoded signing keys","Auth","Ecosystem Observation","B","Current","2023-09","Copied auth snippets often skip key management and rotation. Review generated or tutorial code against current auth guidance."
"e2","seo","Terraform tutorials","Local Terraform state exposes secrets when committed","Secrets","Ecosystem Observation","B","Current","2023-06","Default local state is plaintext JSON. Use remote state with access controls and keep state files out of source control."
"e3","seo","API Gateway quickstarts","Quickstarts omit throttling and usage plans","Auth","Ecosystem Observation","B","Current","2024-02","Unauthenticated or authenticated callers can consume backend resources unless stage throttles, usage plans, and rate rules are configured."
"e4","seo","RDS quickstarts","Public database examples reduce defense-in-depth","RDS","Ecosystem Observation","B","Current","2024-02","Publicly reachable databases still need auth and network rules, but private subnet placement is the safer production baseline."
"e5","seo","AI-generated IaC","AI code assistants generate security groups with 0.0.0.0/0 ingress","Network","Ecosystem Observation","C","Current","2024-03","LLM-generated infrastructure code often uses permissive defaults. Security review must cover AI-generated configurations."
"e6","seo","YouTube DevOps tutorials","Tutorials store AWS credentials as GitHub Actions secrets without OIDC","CICD","Ecosystem Observation","B","Current","2023-12","Static credentials in CI/CD are unnecessary with OIDC federation. GitHub Actions can assume roles without long-lived keys."
"e7","seo","Stack Overflow answers","Top-voted answers recommend disabling SSL verification for development","TLS","Ecosystem Observation","B","Current","2023-08","VERIFY_NONE and --insecure flags in accepted answers get copied to production. Development convenience should not compromise production security."
"e8","seo","Medium / dev.to blog posts","CORS tutorials recommend Access-Control-Allow-Origin: * as first solution","CORS","Ecosystem Observation","B","Current","2023-10","Wildcard origin is the most commonly recommended CORS fix. Tutorials rarely distinguish between public and credentialed endpoints."
"e9","seo","Docker Hub public images","Popular Docker images run as root and include unnecessary packages","Docker","Ecosystem Observation","C","Current","2024-01","Base images with unnecessary packages increase attack surface. Distroless or minimal images with non-root users are preferred."
"e10","seo","AI chatbot code generation","AI-generated code omits input validation and parameterized queries","Input","Ecosystem Observation","C","Current","2024-03","Generated database queries often use string concatenation. AI output needs security review for injection vulnerabilities."
"e11","seo","Node.js tutorial sites","Express.js tutorials omit helmet, rate limiting, and CSRF protection","Headers","Ecosystem Observation","B","Current","2023-11","Minimal Express setups in tutorials lack security middleware. Production apps need explicit security header and rate limit configuration."
"e12","seo","Kubernetes tutorial blogs","K8s tutorials use kubectl apply with cluster-admin context","K8s","Ecosystem Observation","B","Current","2024-01","Tutorial kubectl commands assume cluster-admin. Production access should use scoped RBAC and namespace-limited contexts."
"e13","seo","OAuth tutorial sites","OAuth tutorials skip state parameter and PKCE implementation","OIDC","Ecosystem Observation","B","Current","2023-09","Missing state parameter enables CSRF on OAuth flows. PKCE is required for public clients and recommended for all."
"e14","seo","AWS workshop clones","Forked workshop repos contain outdated IAM policies with known issues","IAM","Ecosystem Observation","C","Current","2024-02","Workshop forks diverge from maintained originals. Outdated policies in forks propagate known security issues."
"e15","seo","Crypto implementation blogs","Blog posts implement custom encryption instead of using AWS KMS","Crypto","Ecosystem Observation","B","Current","2023-10","Custom cryptography in application code is error-prone. Managed key services provide audited, standards-compliant encryption."
"e16","seo","Serverless framework tutorials","Serverless tutorials use broad IAM permissions with iamRoleStatements","Lambda","Ecosystem Observation","B","Current","2024-01","Framework tutorials often grant lambda:* or s3:* permissions for simplicity. Production functions need scoped resource policies."
